Tupi,Tradução,Citação
abá-kanhema,homem fugido,"Anch., Arte, 32"
'y kûapaba,"passagem de água, rego para água","VLB, II, 100"
Eîembo'ebo.,Ensinando tu a ti mesmo,"Anch., Arte, 29"
Xe raîy-raîyk.,Eu sou fibroso.,"VLB, II, 49"
Aîmomotar Pedro.,Atraio a Pedro.,"Anch., Arte, 49"
"Erĩ, aûîé!","Ah, muito bem!","Anch., Teatro, 143, 2006"
Anheté pesepîak irã Tupã Tuba 'ekatuaba koty xe gûapyka xe renane...,"Na verdade, ver-me-eis estar sentado futuramente do lado direito de Deus Pai...","Ar., Cat., 56-56v"
...O îoe'yîa anhõ o aysó abé osepîak.,Vêem somente sua grandeza e sua formosura.,"Ar., Cat., 37v"
Nd'îaîmomarã-potari pitangĩ-moraûsubara...,Não lhe quis fazer mal o neném compadecedor.,"Anch., Poemas, 162"
Ekûá ké suí raá!,Vai-te daqui já!,"Anch., Teatro, 32"
"Îori anhanga mondyîa, ta xe momoxy umẽ.","Vem para espantar o diabo, para que não me dane.","Anch., Poemas, 132"
"...Ta penhemosaînãngatu sesé, nhembo'esaba resé i mbo'ebo...","Que vos preocupeis muito com ele, ensinando-o acerca da doutrina.","Ar., Cat., 127-127v"
Ã tekó a'ereme moreroka.,"Eis que era costume, então, dar nome às pessoas.","Ar., Cat., 3"
...xe akanga moîegûaka...,enfeitando minha cabeça,"Anch., Poemas, 152"
Te'yîpe nhẽ i gûapyki...,Sentou-se em público.,"Ar., Cat., 57"
A'epe Îudas n'oîkotebẽî Îudeus supé o îara me'engagûera resé?,E Judas não se afligiu junto aos judeus pela traição a seu senhor?,"Ar., Cat., 57v"
i akytãmbûera,"as porções miúdas dela, o refugo dela","VLB, II, 39"
Sé.,Ele é gostoso.,"VLB, I, 149"
u'ubá-tyba,ajuntamento de canas-de-flecha,"VLB, I, 65; Staden, Viagem, 67"
"Akó ybakype ogûekó îakatu, Îandé Îara... rekóû miapepûera pupé nhẽ abaré pópe re'a...","Eis que, como está no céu, Nosso Senhor está dentro do pão nas mãos do padre, com certeza.","Ar., Cat., 84v"
"Te'õ rerobyka é, xe angaîpá-tubixagûera amosẽne...","Aproximando-me da morte, meus grandes pecados antigos farei sair.","Anch., Teatro, 38"
Xe resendûara ebokûea.,Isso é o que é destinado a mim.,"VLB, II, 74, 129"
Aî'abo'o.,Eu lhe pélo a cabeça.,"VLB, I, 94; II, 70"
São Lourenço rupîarûera.,Os antigos inimigos de São Lourenço.,"Anch., Teatro, 64"
...Ygarusu nungara...,Algo semelhante a um navio.,"Ar., Cat., 41v"
...tekomemûã momboîa...,planejando maldades,"Ar., Cat., 99v"
Asapy.,Ferrei-o.,"VLB, I, 138"
I marangatu supi é i mombe'upyra rekóreme é.,Ele é bom se o que é contado é mesmo verdade.,"Ar., Cat., 67v"
...'Ara nde i gûaba pupé bé o'a te'õ nde reséne...,No mesmo dia em que tu a comeres cairá a morte em ti.,"Ar., Cat., 40"
apebusu,"rechonchudão, baixo e largo de corpo","VLB, I, 37"
Og uba îakatutenhẽpe asé i moetéû?,A gente o honra como a seu próprio pai?,"Ar., Cat., 82"
Angari abaregûasu kori arogûatá.,"Por isso, ando com o provincial hoje.","Anch., Poesias, 56"
Asuru-monhang.,Fiz-lhe uma gaiola.,"VLB, I, 146"
...T'ogûenosem mba'e-aíba xe 'anga suí o poroaûsuba resé i moynysema...,"Que retire as coisas más de minha alma, enchendo-a com seu amor.","Ar., Cat., 31v"
'Yba i peb.,Os cabos são achatados.,"Léry, Histoire, 346"
"Eîori, xe îarĩ gûé...!","Vem, ó meu senhorzinho!","Anch., Poemas, 130"
Iîabaeté-katu nde 'aka.,São muito temíveis teus chifres.,"Anch., Teatro, 162"
...Tamũîa... omombab erimba'e...,Destruiu outrora os tamoios.,"Anch., Teatro, 52"
Emonã nungara amõ t'îasó kori seru.,Vamos hoje para trazer alguns assim desse jeito.,"Anch., Teatro, 160, 2006"
Marã-takó ahẽ rera?,Qual era mesmo o nome dele?,"VLB, I, 77"
...Akó omanõba'erame'yma berame'ĩ...,Como se fosse aquele que não morrerá.,"Ar., Cat., 155"
...Toryba rerekóbo...,Tendo alegria.,"Anch., Teatro, 54"
"Ene'ĩ, t'îasó taûîé...","Eia, vamos logo.","Anch., Poemas, 182"
Asó îepe'abá.,Vou para arrancar lenha.,"VLB, II, 20"
I poraûsubá-katu Tupã sy...,É muito misericordiosa a mãe de Deus.,"Anch., Poemas, 182"
A'ã bé.,Ainda estou de pé.,"VLB, I, 112"
...T'ereîub moreaûsuba monhangápe.,Que estejas prostrado no lugar de se fazerem sofrimentos.,"Anch., Teatro, 48"
Penhemongatu mamõ xe suí n'opoapyî.,Sossegai longe de mim senão vos queimo.,"Anch., Poesias, 56"
Aîkobé n'ixé sarõana...,Permaneço eu o seu guardião.,"Anch., Teatro, 40"
oîoirũîrũ,"um par de pares, quatro","VLB, I, 154"
Esarõ oré retama oré sumarã suí.,Guarda nossa terra de nossos inimigos.,"Anch., Teatro, 118"
Xe îuká xe îara.,Meu senhor me mata.,"Anch., Arte, 12v"
Eîotĩ nde kesaba xe porupi.,Amarra tua rede ao lado de mim.,"Anch., Arte, 44"
Ereroŷrõ-mbápe sekó?,Detestas completamente suas obras?,"Ar., Cat., 114v"
...Abápe 'ara pora oîkó nde îabé?,Que habitante do mundo há como tu?,"Anch., Poemas, 116"
Pitangĩ abé îandé rubypy angaîpaba nhõ ogûerekó.,As criancinhas também têm somente o pecado de nosso pai primeiro.,"Anch., Doutr. Cristã, 201"
...poxy resé o nheangerekosápe...,na sua preocupação com torpezas,"Ar., Cat., 71"
"Xe, anhangusu-mixyra...","Eu, o diabão assado...","Anch., Teatro, 6"
...apŷaba mondyabó,empobrecendo os índios,"Anch., Teatro, 30"
Aî'apin.,Rapo-lhe a cabeça.,"VLB, II, 96"
Ereîkópe sere'ymba'e amõ resé?,Vives com alguma não batizada?,"Anch., Doutr. Cristã, II, 89"
Marã e'ipe irã abá a'ereme tobaîá-katupabẽ o amaneme sekyîabone?,"Como, então, futuramente, os homens dirão, invocando-o, ao circundarem-nos muitíssimos inimigos?","Ar., Cat., 162"
"Sugûy mombukapa, îaînupã-nupã.","Derramando o seu sangue, ficaram a açoitá-lo.","Anch., Poemas, 120"
Ereîakasó-piang?,"Mudaste, por acaso?","Léry, Histoire, 341"
abá-matuetegûasu,"homem apessoado, gentil-homem","VLB, I, 148"
'Ara rekó pukuîpe abá i mombe'ukatune?,Enquanto houver o mundo o homem a bendirá?,"Ar., Cat., 32v"
Asó ã.,Eis que vou.,"Anch., Arte, 21v"
Ainĩ.,Estou quieto.,"VLB, II, 93"
Santa Maria sera...,Santa Maria é o nome dela.,"Anch., Poemas, 88"
"Okûabetápe erimba'e seîxu, ybakype abá só moabaîpaba?","Os anos passaram muitas vezes, causa de atraso da ida do homem para o céu?","Ar., Cat., 41"
Marã-marãpe Santíssima Trindade rera?,Quais são os nomes da Santíssima Trindade?,"Anch., Doutr. Cristã, I, 157"
ikó 'ara pora,o que está neste mundo,"Ar., Cat., 141"
Oroîerobîá nde ri...,Confiamos em ti.,"Anch., Teatro, 118"
"I abaeté-katu irã tekó i angaîpaba'e supéne,... o poxy, o eté-una reropu'ama...","Serão muito terríveis os fatos, futuramente, para os que são maus, levantando-se com sua fealdade, com seus corpos escuros.","Ar., Cat., 161"
Asó ybyrá piaramo.,Vou como catador de madeira.,"VLB, I, 69"
"O ekó moasy riré, abá sóû îemombegûabo...","Após arrependerem-se de seu procedimento, os índios vão confessar-se.","Anch., Teatro, 38"
Xe rakubor.,Eu estou animoso.,"VLB, I, 127"
"Ybytu îabé osunung, î abaeté suí osyîa.","Como o vento zune, tremendo por causa de sua bravura.","Anch., Poemas, 190"
...Ko'ẽme gûemi'urama resé onhemosaînana...,"De manhã, cuidando de sua comida.","Ar., Cat., 11v"
Tupã nhe'enga asé mbo'esaba,o ensinamento a nós da palavra de Deus,"Anch., Dial. da Fé, 228"
Te'itenhẽumẽ ahẽ onhe'enga.,Que se guarde fulano de falar.,"VLB, I, 151"
...Nde rekomemûã rumõ-rumõmo nhẽ.,"Teus pecados estando a aumentar, com efeito.","Ar., Cat., 157"
"Maria t'îambory, Anhanga rekó reîyîa.","Que a Maria alegremos, a lei do diabo repelindo.","Anch., Poemas, 188"
I pore'ymba'e... “-emonã kó Tupã resé” o'îabo tenhẽ.,"O que, dizendo em vão “-Eis que é assim, por Deus”, não o cumpre.","Ar., Cat., 67"
Oîmoín-y bépe Pilatos o nhe'enga îudeus supé...?,Dirigiu de novo Pilatos sua fala aos judeus?,"Ar., Cat., 59v"
"I pupé Îesu Cristo rekóû, ...o ekó îakatu tenhẽ i 'anga abé...","Dentro dele está Jesus Cristo, em todo o seu ser e em seu espírito.","Ar., Cat., 85"
Oîkó-potá sesé îandu.,"Quer ter relações sexuais com ela, como de costume.","Ar., Cat., 108v"
Oîkobé nde arûara é.,Aqui está teu danador.,"Anch., Teatro, 90"
Abá-abápe Tupã rera oîmoeté-ukar?,Quem faz louvar o nome de Deus?,"Ar., Cat., 26v"
Oré remi'u 'ara îabi'õndûara eîme'eng kori orébe.,"Nossa comida, a que é de cada dia, dá hoje para nós.","Anch. Doutr. Cristã, I, 139"
"Karaibebé a'e, moroîubyka puaîtara.",Ele é o anjo que encomenda o enforcamento.,"Anch., Teatro, 62"
Nd'a'é te'e nde ratãngatu resé gûiîekoka...,Por isso mesmo em tua grande força apóio-me.,"Anch., Teatro, 12"
Îeperibe'ĩ asé marã i 'éû onhemoŷrõ ymûan.,"Mal a gente diz algo, já se irrita.","VLB, II, 11"
okena motakaba,fecho da porta,"VLB, I, 136"
"Oroaûsu-potá-katu, oroîeme'enga endébo.","Queremos muito amar-te, entregando-nos a ti.","Anch., Poemas, 136"
Our benhẽ i kera pé nhẽ obasemano.,"Veio de novo, achando-os novamente no sono.","Ar., Cat., 53v"
Aîepysó.,Deito-me.,"VLB, I, 19"
itá kasara,"quebrador de pedras, cavouqueiro","VLB, I, 69"
"Itamina pupé iî yké kutuki, i nhy'ã moboka.","Com uma lança de ferro espetou seu flanco, estourando suas entranhas.","Ar., Cat., 64"
"Temone ko'yr Anhanga ratá pora, abá amõ opu'ama iké îandé re'yîpemo...","Oxalá agora alguma pessoa, habitante do fogo do inferno, levantasse aqui na nossa multidão.","Ar., Cat., 165v"
Îaru!,Tragamo-lo!,"Anch., Arte, 23"
Aîmoeté-katupe xe ruba ká...,Hei de louvar muito meu pai.,"Ar., Cat., 25v"
Eîori sa'anga... t'oîpuru tekó-poxy.,"Vai para prová-los, para que pratiquem maus atos.","Anch., Teatro, 16"
...Ybyrá itá monhangymbyra kupépe so'o mimbaba roka ogûâr gûupabamo...,Atrás de uma cerca feita de pedras tomou a casa dos animais de criação como sua pousada.,"Ar., Cat., 9v"
N'aîabyî.,"Não sou diferente dele, pareço-me com ele.","VLB, II, 65"
...I kanga îepotasaba pe'abo o îosuí.,As juntas de seus ossos afastando umas das outras.,"Ar., Cat., 62"
Mamõpe Tupã rekóû?,Onde Deus está?,"Ar., Cat., 26"
Xe aty peîepé...,Enterrai-me vós.,"Ar., Cat., 162"
Xe akym.,Eu estou molhado.,"VLB, II, 40"
"Eresópe abá... îeky-'ye'ẽ supa, i pora rá?","Foste para revistar os covos de água doce de alguém, tomando seu conteúdo?","Ar., Cat., 107v"
Xe renõî umẽ îepé i xupé na xe îukáî.,Não me chames tu pelo nome diante dele senão me mata.,"Anch., Teatro, 32, 2006"
...O mũetéramo sekó kuakupa.,Escondendo ser parente legítimo dela.,"Ar., Cat., 71v"
Xe moapysyk îepé.,Conforta-me tu.,"Valente, Cantigas, II, in Ar., Cat., 1618"
Xe katûagûama ri ene'ĩ xe mbogûatábo.,"Eia, faze-me andar nas minhas virtudes.","Valente, Cantigas, III, in Ar., Cat., 1686"
Aîepó-mongaraû.,Torci-me a mão.,"VLB, II, 132"
Xe posaûsupe asepîak.,Vi-o em meus sonhos.,"VLB, II, 121"
"T'oré pyatã, angá, mba'e-asy porarábo...","Que sejamos corajosos, sim, suportando as coisas dolorosas.","Anch., Teatro, 120"
Aîuká-ukar.,Mando matá-lo.,"VLB, II, 30"
"Ixé serobîarypyra,... Gûaîxará seryba'e.","Eu sou aquele em quem se deve acreditar, o que tem nome Guaixará.","Anch., Teatro, 6"
...I poraûsuboka...,Arrancando suas aflições.,"Anch., Teatro, 54"
Irũmbûera... aîme'eng abá supé.,Seus antigos companheiros dei aos índios.,"Anch., Teatro, 46"
E'ikatupe abá o emirekó resé oposykyîee'yma?,Pode o homem não cuidar de sua esposa?,"Ar., Cat., 166, 1686"
...Akanhem kó ixé re'a...,Eis que agora eu pereço.,"Ar., Cat., 156"
Oîerokype asé... santos ybakypendûara... supé bé?,A gente se inclina para os santos que estão no céu também?,"Ar., Cat., 22"
Okaî oupa aûîeramanhẽ... o îurupe nhote aîpó o 'eagûera repyramo.,Estão queimando para sempre como pena de dizerem isso somente em suas bocas.,"Ar., Cat., 1686, 248"
"Taté, taté, kunumĩ, na nde nupãî karaíba...","Cuidado, cuidado, menino, para que não te castigue o homem branco.","Anch., Poemas, 194"
I mba'eba'e ixé.,Eu sou o que é rico.,"VLB, II, 105"
Osó-tepe ra'e é?,Mas será que foi mesmo?,"Anch., Arte, 36"
"Xe ra'yrĩ gûé, tesaraîtabamo okanhemba'epûera rekó resé nde ma'enduar.","Ó meu filhinho, lembra-te de que os que pereceram são objeto de esquecimento.","Ar., Cat., 157v-158"
Oobapybo aîub.,Jazo de bruços.,"VLB, II, 7"
kamusy-oka,casa de telha,"VLB, II, 125"
"A'ereme amõ aîukáne, xe îusanyme i mbo'a...","Então, alguns matarei, no meu laço fazendo-os cair.","Anch., Poemas, 156"
...O sy kambûabo oúpa.,Tomando o leite de sua mãe.,"Anch., Poemas, 162"
Xe py'a xe 'anga eîar nde mba'eramo taûîé.,Toma logo meu coração e minha alma como coisas tuas.,"Valente, Cantigas, II, in Ar., Cat., 1618"
Xe angaîbor.,Eu sou magro.,"VLB, I, 112"
Xe rendybaá-îub.,Eu tenho barba ruiva.,"VLB, II, 109"
tekobé-apyrasye'yma,vida eterna,"Anch., Doutr. Cristã, II, 112"
Asó kori okype nde rur'iréne.,Irei hoje à casa depois que tu vieres.,"Anch., Arte, 22"
N'i tybangáî setãmbûera. Opá... akûeîme n'i poretáî.,"Não existem mais as suas antigas terras. Todas, desde então, não contêm muita coisa.","Anch., Teatro, 52"
"Anhangerekó îepé, aîpó supé n'abasemi.","Embora me interessasse, junto àquelas não cheguei.","Anch., Teatro, 178, 2006"
A'e o porabykysaba pupé ...oîpytybõ...,"Ele, com seu trabalho, ajudou-o.","Ar., Cat., 123, 1686"
nha'uma suí i monhangymbyra,o que é feito de barro,"Ar., Cat., 15"
T'ixapy! ou Ixapy!,Queimemo-lo!,"Anch., Arte, 23"
Moîepenhombé akûab.,Passo raramente.,"VLB, II, 96"
Ereîakangá-ngápe nde membyra i akyrar-y îanondé?,Ficaste quebrando a cabeça de teu filho antes de o abortar?,"Anch., Doutr. Cristã, II, 88"
Eîpy-tybyrok xe roka...,Arranca de minha casa a poeira dos pés...,"Valente, Cantigas, VIII, in Ar., Cat., 1618"
Xe ranhẽ t'akûáne.,Eu hei de ir primeiro.,"Anch., Teatro, 20"
...O sorambûera resé ...sekotebẽû.,Afligiu-se por se ter frustrado sua ida.,"Ar., Cat., 84"
"...Anonhan, arobebéne...","Fá-los-ei correr comigo, fá-los-ei voar comigo...","Anch., Teatro, 40"
"A'epe kunumĩgûasu kunhã oîmomosemba'e, miaûsuba potá nhẽ karaibokype-katu...?","E os rapazes que perseguem mulheres, querendo escravas bem nas casas de cristãos?","Anch., Teatro, 36"
o îoati'yba ri,"sobre os ombros de duas pessoas, de um e do outro ombro (como a levar uma escada muito comprida)","VLB, II, 56"
Îaro'a tatá pupé serokaîa...,Façamo-lo cair conosco no fogo para fazê-lo queimar conosco.,"Anch., Teatro, 164"
Nd'arobîari Makaxera...,Não confio em Macaxeras...,"Anch., Teatro, 62"
Anheran i xupé.,Resisti-lhe (defendendo-me).,"VLB, II, 103"
Oîoîá... osarõ nhẽ pe retama...,Igualmente guarda vossa terra.,"Anch., Teatro, 52"
-Nde regûyrõpe nde agûasá resé?,Tu tiveste excitação com teu amante?,"Ar., Cat., 235"
...o mba'epûeramo...,sendo coisa antiga,"Ar., Cat., 74"
Na xe rekoposyî.,Eu não sou grave nos meus atos.,"VLB, II, 21"
Sesé îandé moîekosupagûera resé îandé ma'enduaramo kó 'ara îaîmoeté.,"Comemoramos este dia, lembrando-nos do tempo em que nô-la fizeram alcançar.","Ar., Cat., 5v"
Aîobabo'o.,Pélo a testa a mim mesma.,"VLB, II, 70"
Páscoa îabi'õ tupãrara.,Comunhão a cada Páscoa.,"Ar., Cat., 17"
ygara rokabytera,convés da embarcação,"VLB, I, 81"
...A'e ré t'asepenhan!,"Depois disso, hei de atacá-los.","Anch., Teatro, 74"
Mba'epe asé oîmoinukar o kotype o ma'ẽsabamo?,Que a gente manda pôr em seu aposento como objeto de seu olhar?,"Ar., Cat., 93"
...Ybakype... opytaba'epûera rubixaba.,Chefe dos que ficaram no céu.,"Ar., Cat., 134, 1686"
Mokõî oîoirundyk oito 'ara sykeme... i 'apira mondoki.,"Ao chegar o oitavo dia, cortaram seu prepúcio.","Ar., Cat., 3"
itá-ekobé,"metal vivo, isto é, o mercúrio","VLB, I, 49"
"Xe reté ã n'oîkoetéî, omembeka.","Eis que meu corpo não está disposto, amolecendo.","Ar., Cat., 53"
O îoambyî oroîub.,Estamos pertinho um do outro.,"VLB, II, 74"
Sepyrama xe pûaîtaba...,Sua remissão foi meu encargo.,"Anch., Teatro, 170"
ó-kupépe,"detrás da casa, atrás da casa","VLB, I, 102"
"Kûeîsé kó aporapiti, aîuruîuba îukábo.","Eis que ontem trucidei gente, matando europeus.","Anch., Teatro, 66"
"Salve Rainha, moraûsubara sy...","Salve Rainha, mãe de misericórdia.","Ar., Cat., 14"
Sakypûera rupi é îasó...,Por seus rastros é que vamos.,"Anch., Teatro, 138"
"I pupé onhemonhanga, onhemomirĩ Tupã.","Dentro dela gerando-se, Deus fez-se pequeno.","Anch., Poemas, 162"
Xe atá-îaî.,"Eu tenho o andar escarrapachado (isto é, abro muito as pernas ao andar).","VLB, I, 123"
"Aîpó n'i papasabi, kûarasymo oîké îepémo!","Isso não seria possível enumerar, ainda que o sol se pusesse!","Anch., Teatro, 38"
Opakatupe kûeîpe abá nhe'enga kuabukari i xupé?,Todas as línguas dos homens por aí afora fê-los conhecer?,"Ar., Cat., 45v"
Aîapasok.,"Soquei-o, compactando.","VLB, II, 77"
...Sesapysó a'upe é Tupã xe repîaka?,Acaso Deus tem vista aguda para me ver?,"Anch., Teatro, 30"
...akûé tabusu Îerusalém 'îaba...,aquela cidade chamada Jerusalém,"Ar., Cat., 61v-62"
Aûîeté-pakó aîegûak ûinhemoúna...,"Na verdade hei de me enfeitar, pintando-me de preto...","Anch., Teatro, 60"
oka rerekoara,"o que cuida da casa, caseiro","VLB, I, 68"
Maratekoara aé-amẽ ahẽ?,Qual outro é guerreiro senão ele?,"VLB, I, 20"
N'aîpotare'ymi xûéne.,Não deixarei de o querer.,"Anch., Arte, 34v"
Aîpó tera xe arõana.,Esse nome é o que me convém.,"Anch., Teatro, 168, 2006"
Ereîkapyrokype nde rapixarĩ resé eîekytyka?,"Excitaste-o, esfregando-te no teu companheiro?","Anch., Doutr. Cristã, II, 90"
Osó ruãpe é?,É certo que foi?,"VLB, I, 153"
Tekopûera t'aîpe'a t'aîkó umẽne marani...,Que eu afaste o proceder antigo para que não esteja no mal.,"Anch., Poemas, 142"
Abá-abá rerape eboinga?,Nomes de quem são esses?,"Anch., Doutr. Cristã, 200"
Kó aîkó sygepûera t'arasó i nhy'ãbebuîa abé xe raîxó-gûaîbĩ supé.,Aqui estou para levar seu ventre e também seus pulmões para minha sogra velha.,"Anch., Teatro, 66"
Mendûera kó re'a nd'e'i oîeakakapa.,"Os ex-maridos, esses, malditos, não se repreendem.","Anch., Teatro, 154, 2006"
...Îudeus rubixabapiã nde?,Acaso tu és o rei dos judeus?,"Ar., Cat., 58"
"...Kó anga andupa, aseîá kûesé xe roka...","Eis que percebendo isso, deixei ontem minha casa.","Anch., Poemas, 112"
O apixara robaké... kunhã resé oîkóbo.,Tendo relações sexuais com mulheres diante de sua companheira.,"Ar., Cat., 72"
Mobype erenhemombe'u koîpó eretupãar...?,Quantas vezes te confessaste ou comungaste?,"Ar., Cat., 98"
-te nakó,mas antes,"VLB, II, 32"
Abá-mondá morapitîagûera repyramo mundeokype i mondebypyrûera.,Um homem ladrão que foi posto na prisão como pena de assassinatos.,"Ar., Cat., 59v"
...Kori é t'oromondóne.,Hoje mesmo hei de fazer-te ir.,"Anch., Teatro, 32"
"Ybyraîoasaba resé i moîarypyrûeramo sekóû, i îukapyrûeramo, i tymbyrûeramo.","Foi pregado na cruz, foi morto, foi sepultado.","Ar., Cat., 15"
Aîpy-gûang.,Tinjo-lhe os pés (com urucu).,"VLB, I, 32"
I pupukyba'e,o que se masturba,"Ar., Cat., 72"
"Akûeîme eresapekó oré retama, saûsupa.","Antigamente frequentavas nossa terra, amando-a.","Anch., Poemas, 154"
Na xe posykyîéî.,Eu não sou afável.,"VLB, I, 86"
"O pó, o py o yké kutukagûera bépe erimba'e ogûeropu'am?","Ergueu-se com as feridas de suas mãos, de seus pés e de seu flanco?","Ar., Cat., 44v"
Asatapyĩ'ok.,Espevitei-o.,"VLB, I, 126"
Missa ra'anga asébe...,Celebrando a missa para a gente.,"Ar., Cat., 93v"
mba'e-kagûera,gordura de animal,"VLB, I, 117"
Aîpotá-katutenhẽ opabĩ taba mondyka.,Quero muito mesmo todas as aldeias destruir.,"Anch., Teatro, 12"
T'îanhe'engá-mirĩ ranhẽ 'ara momorãngatûabo...,"Cantemos um pouquinho, primeiro, para festejarmos bem o dia.","Anch., Teatro, 56"
Xe pukusam.,Eu fui peado.,"VLB, II, 68"
"Okuî rakó amũme 'ybarambûera o 'yba suí 'ybotyramo oîkóbo bé, amõ rakó ogûakyra pupé i kuî, amõ rakó ogûaîub'iré i kuî.","Caem às vezes os frutos de suas árvores sendo ainda flores, outras vezes em seu estado verde, outras vezes caem após madurarem.","Ar., Cat., 157v"
Aîepabok.,Parto.,"VLB, II, 66"
Xe nhe'ẽposyî.,"Eu tenho palavras pesadas (isto é, sérias, com pesadas reflexões).","VLB, I, 74"
T'oîese'ar-y berame'ĩ oîepekaturamo.,Que pareçam juntar-se como um só.,"Ar., Cat., 95v"
Na xe resapysóî.,"Eu não tenho visão, eu sou cego.","VLB, II, 147"
Tynysẽ umã kaûĩ...,Já transborda o cauim.,"Anch., Teatro, 24"
Atyabor.,Estou na penúria.,"VLB, I, 128"
Xe ase'o-tining.,Eu tenho garganta seca.,"VLB, II, 114"
Eîkuabe'eng xe nhe'engaipaba.,Mostra o erro de minhas palavras.,"Ar., Cat., 55v"
"Kó nhõ anosẽ, îepé, moxy suí.","Somente estas, na verdade, retirei dos malditos.","Anch., Poemas, 150"
Xe resab.,Eu sou torto do olho.,"VLB, II, 133"
Xe 'anga omonem tekoangaîpaba.,Minha alma fez feder a vida pecaminosa.,"Anch., Poemas, 106"
Marãpe gûarinĩetá i pysykara serekóû a'ereme?,"Como os soldados que o agarravam trataram-no, então?","Anch., Dial. da Fé, 175"
...xe 'anga repymondykaba...,o resgate de minha alma,"Ar., Cat., 12"
Pepo'i xe remiarõ suí!,Afastai-vos daquele que eu guardo!,"Anch., Teatro, 180, 2006"
Abámo... mba'e-katu 'uagûera n'oîkuabi xûé... sé katûagûera resé o esaraîamo...?,"Alguém não reconheceria ter comido algo bom, esquecendo-se da excelência de seu sabor?","Ar., Cat., 88v"
T'orosóne nde rupi.,Havemos de ir contigo.,"Valente, Cantigas, III, in Ar., Cat., 1618"
"T'orosaûsu îandé ruba, îandé monhangareté.","Que amemos nosso pai, nosso verdadeiro criador.","Anch., Teatro, 120"
Aîmoagûé.,Deixei-o pela metade.,"VLB, II, 34"
"...Ybaté koty ogûetymã moîarukari,'yba koty o akanga.","Para cima suas pernas mandou pregar e, para baixo, sua cabeça.","Ar., Cat., 9"
"Nd'e'i te'e Tupã nde pe'abo, a'epûerype tatá aûîerama nde rapŷabo.","Por isso mesmo Deus te repeliu, desde então o fogo para sempre queimando-te.","Anch., Teatro, 18"
Kó nde remimbûaîetá t'oîtyk pá tekopoxy.,Que estes em quem mandas lancem fora toda a maldade.,"Anch., Poemas, 158"
...semiîukapûera rasara,o que apanha o que ele matou,"Ar., Cat., 73"
Aîe'atype'a.,Pus-me espertadura.,"VLB, I, 126"
O a'yra kuakupa emonã sekóû.,Assim procede para disfarçar a existência de seus filhotes.,"VLB, I, 104"
Aîepy-mongaraû.,Desconjuntei-me o pé.,"VLB, I, 97"
Pekûá taba rupi...,Ide pelas aldeias...,"Ar., Cat., 5"
...Mba'epûera peîépe?,Dissestes tolices?,"Ar., Cat., 157v"
mo'yrobyeté,colares azuis,"Léry, Histoire, 346"
Marã e'ipe Pilatos serekoaretá supé?,Como disse Pilatos aos seus aprisionadores?,"Ar., Cat., 58v"
Abá mba'ekatu moasy.,Invejar as coisas boas de alguém.,"Anch., Doutr. Cristã, I, 151"
Xe retobapé-pyryb.,Eu sou um pouco bochechudo.,"VLB, I, 56"
Umãmepe sekóû?,Onde ele mora?,"Ar., Cat., 50v"
"Oîeîukaaíb-eté serã serasoaretá a'ereme, oposẽ-posema?","Acaso insistiram muito, então, os que o levaram, ficando a gritar?","Ar., Cat., 58v"
Arasó xe apyri.,Levo-o junto de mim.,"VLB, I, 35"
Emonã nakó xe rekopotari.,"Assim, na verdade, eu determinei.","VLB, II, 13"
...Iîá omba'easyramo...!,Bem feito que adoeceu!,"Ar., Cat., 69v"
iî apé,o lado direito dele,"VLB, I, 103"
...Aó-tinga mondebuká sesé serekomemûãsabamo.,Roupa branca mandando colocar nele como meio de maltratá-lo.,"Ar., Cat., 59"
u'u-mana,maço de flechas,"VLB, II, 27"
...îandé ro'o resé îese'aragûera...,a união à nossa carne,"Ar., Cat., 132v"
Xe pyta'ã-ta'am.,Eu me fico levantando nas pontas dos pés.,"VLB, II, 21"
"Endé, nde îybápe, Îesu eresupi.","Tu, em teus braços, Jesus ergueste.","Anch., Poemas, 118"
Koromõ ybytu pu'amine.,Logo o vento se levantará.,"VLB, II, 143"
"'Ara pab'iré, i moingobeîebyri...-ne.","Após acabar o mundo, fá-los-á voltar a viver...","Ar., Cat., 27"
Aîme'engĩ.,"Dei-o por dar (isto é, de graça).","VLB, I, 90"
Aîpiku'i-momemûã.,Esfreguei-lhe a caspa.,"VLB, I, 124"
"...O membyraragûera kûab'iré, Santa Maria o membyra Îesus rerasóû Tupãokype...","Após passar o seu parto, Santa Maria levou seu filho Jesus para o templo.","Ar., Cat., 3v"
...Anhanga îandé pysyki.,O diabo nos capturou.,"Anch., Poemas, 178"
"To! Anhẽ, mba'epe ké kanindé-oby îasûara?","Oh! Que há aqui, na verdade, semelhante a um canindé azul?","Anch., Teatro, 62"
Anhemokunu'unu'uma'ub abá resé.,Faço lisonjas ao homem.,"VLB, II, 23, adapt."
"Erenhemote'õ'ape nde remirekó supé, i amotare'yma nhẽ?","Ficaste impotente diante de tua esposa, detestando-a?","Ar., Cat., 235-236"
Tynysẽ memẽ ygasaba...,Estão sempre cheias as igaçabas...,"Anch., Teatro, 34"
Aîmonarang.,Arrombei-o.,"VLB, I, 44; II, 92"
"Na Pero ruã, tybyra a'e.","Não era Pedro, mas, sim, seu irmão.","VLB, II, 115"
Xe retobapegûasu.,"Eu sou muito bochechudo, eu tenho bochechas grandes.","VLB, I, 56"
